domain,rigsmyndighed
albertslund.dk,0
alleroed.dk,0
assens.dk,0
balk.dk,0
billund.dk,0
brk.dk,0
brondby.dk,0
99454545.dk,0
dragoer.dk,0
egekom.dk,0
esbjergkommune.dk,0
fanoe.dk,0
favrskov.dk,0
faxekommune.dk,0
fredensborg.dk,0
fredericia.dk,0
frederiksberg.dk,0
frederikshavn.dk,0
frederikssund.dk,0
furesoe.dk,0
fmk.dk,0
gentofte.dk,0
gladsaxe.dk,0
glostrup.dk,0
greve.dk,0
gribskov.dk,0
guldborgsund.dk,0
haderslev.dk,0
halsnaes.dk,0
hedensted.dk,0
helsingor.dk,0
herlev.dk,0
herning.dk,0
hillerod.dk,0
hjoerring.dk,0
holb.dk,0
holstebro.dk,0
horsens.dk,0
hvidovre.dk,0
htk.dk,0
horsholm.dk,0
ikast-brande.dk,0
ishoj.dk,0
jammerbugt.dk,0
kalundborg.dk,0
kerteminde.dk,0
kolding.dk,0
kk.dk,0
koege.dk,0
langelandkommune.dk,0
lejre.dk,0
lemvig.dk,0
lolland.dk,0
ltk.dk,0
laesoe.dk,0
mariagerfjord.dk,0
middelfart.dk,0
morsoe.dk,0
norddjurs.dk,0
nordfynskommune.dk,0
nyborg.dk,0
naestved.dk,0
odder.dk,0
odense.dk,0
odsherred.dk,0
randers.dk,0
rebild.dk,0
rksk.dk,0
ringsted.dk,0
roskilde.dk,0
rudersdal.dk,0
rk.dk,0
samsoe.dk,0
silkeborg.dk,0
skanderborg.dk,0
skivekommune.dk,0
slagelse.dk,0
solrod.dk,0
soroe.dk,0
stevns.dk,0
struer.dk,0
svendborg.dk,0
syddjurs.dk,0
sonderborg.dk,0
thisted.dk,0
toender.dk,0
taarnby.dk,0
vallensbaek.dk,0
varde.dk,0
vejen.dk,0
vejle.dk,0
vesthimmerland.dk,0
viborg.dk,0
vordingborg.dk,0
aeroekommune.dk,0
aabenraa.dk,0
aalborg.dk,0
aarhus.dk,0
